NUMERO;AGE;SEXE;METIER;CODEW0;COMVIN;CERTIF
66;72;1;4;22;1;0
68;66;0;6;54;2;1
78;73;1;6;46;1;1
79;67;0;7;52;2;1
81;73;0;7;38;1;1
96;66;1;6;47;0;0
106;71;0;4;27;2;0
107;73;0;6;41;2;0
108;66;1;6;23;1;0
109;73;1;7;29;1;1
116;72;0;7;33;1;0
125;66;1;6;47;0;1
131;65;0;7;44;1;1
132;67;1;4;24;1;0
137;66;1;0;37;0;1
141;72;1;0;28;0;1
161;67;1;4;23;0;0
169;79;0;5;29;2;1
175;67;0;7;44;2;1
177;69;1;7;54;0;1
185;65;1;5;36;0;0
187;68;0;6;26;1;0
188;66;0;7;63;1;1
189;67;1;0;25;0;0
192;65;1;6;28;0;0
196;71;0;6;60;2;0
206;66;1;3;26;0;0
211;66;0;4;30;1;0
215;76;1;0;26;1;0
218;65;0;4;25;1;1
231;67;1;4;41;0;0
232;68;1;6;40;0;1
239;71;0;5;29;2;0
243;81;1;3;27;0;0
248;65;1;7;43;0;1
258;74;1;0;24;0;1
260;76;0;7;47;2;0
261;65;1;4;27;1;0
270;74;0;6;25;1;0
273;76;1;6;37;1;1
274;65;0;7;37;2;0
277;70;1;6;23;0;0
294;67;0;6;57;2;0
299;81;1;6;35;0;1
306;67;1;0;33;0;1
310;76;1;6;51;0;1
314;68;1;6;39;0;0
315;71;1;6;27;0;0
316;68;0;6;51;1;1
336;78;0;6;39;2;1
337;72;1;6;56;0;1
344;76;1;7;35;1;1
349;66;1;6;70;0;1
357;75;1;3;25;1;0
360;66;1;6;28;2;0
370;67;1;6;33;1;0
389;68;0;6;33;1;0
403;81;0;6;26;1;0
409;66;1;4;47;1;0
424;65;1;6;29;0;0
429;68;1;7;46;0;1
435;66;1;5;32;1;0
437;72;0;6;47;1;0
440;66;1;4;36;0;0
441;70;1;5;24;0;0
443;65;1;7;68;1;1
448;65;0;7;41;0;1
451;68;0;7;48;1;1
454;69;0;5;57;2;1
457;71;0;4;43;2;1
467;68;1;0;43;1;1
469;80;1;7;35;2;1
470;65;0;7;55;0;1
477;80;0;4;33;0;0
485;68;1;7;45;0;1
488;85;1;6;22;0;0
503;69;1;7;33;1;1
514;75;1;5;33;1;0
515;66;1;7;65;1;1
518;80;1;6;27;0;0
520;68;0;6;36;1;0
